,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Ordinary Shares Number,13532971224.0,13532218028.0,13532188028.0,13531988028.0,
Share Issued,13532971224.0,13532218028.0,13532188028.0,13531988028.0,
Net Debt,2410280000000.0,2310820000000.0,2798100000000.0,2327960000000.0,
Total Debt,3695750000000.0,3461420000000.0,3343920000000.0,2819740000000.0,
Tangible Book Value,4342610000000.0,4331070000000.0,3850770000000.0,5476870000000.0,
Invested Capital,11907300000000.0,11181030000000.0,10298380000000.0,10457900000000.0,
Working Capital,455330000000.0,727330000000.0,295530000000.0,383570000000.0,
Net Tangible Assets,4342610000000.0,4331070000000.0,3850770000000.0,5476870000000.0,
Capital Lease Obligations,220450000000.0,215200000000.0,204260000000.0,156690000000.0,
Common Stock Equity,8432000000000.0,7934810000000.0,7158720000000.0,7794850000000.0,
Total Capitalization,10800990000000.0,10161930000000.0,8990480000000.0,9671840000000.0,
Total Equity Gross Minority Interest,10096280000000.0,9257880000000.0,8288810000000.0,8889840000000.0,
Minority Interest,1664260000000.0,1323070000000.0,1130090000000.0,1094990000000.0,
Stockholders Equity,8432000000000.0,7934810000000.0,7158720000000.0,7794850000000.0,
Other Equity Interest,8296680000000.0,7800000000.0,6460000000.0,4340000000.0,
Retained Earnings,,3397870000000.0,2957390000000.0,2479510000000.0,1960590000000.0
Additional Paid In Capital,,998460000000.0,998360000000.0,1148460000000.0,745580000000.0
Capital Stock,135320000000.0,67660000000.0,67660000000.0,67650000000.0,
Common Stock,135320000000.0,67660000000.0,67660000000.0,67650000000.0,
Total Liabilities Net Minority Interest,9404930000000.0,8301980000000.0,7785500000000.0,6106810000000.0,
Total Non Current Liabilities Net Minority Interest,4867560000000.0,4328310000000.0,3828070000000.0,3020190000000.0,
Other Non Current Liabilities,1100490000000.0,1127520000000.0,1137660000000.0,377920000000.0,
Tradeand Other Payables Non Current,,56670000000.0,77040000000.0,120240000000.0,146160000000.0
Non Current Deferred Taxes Liabilities,834530000000.0,722410000000.0,603240000000.0,496440000000.0,
